Unnamed: 0,length,condition,lat,lon,intersection,model_type,id,road,name,chainage,traffic,heavy_truck,heavy_truck_normalized,truck_generation_frequency,sink_selection_probability
1056,15.4,C,21.14086477,92.16052223,,bridge,11056,N1,,435.77796,5820.0,24.0,0.01972062448644207,,
1057,134.0,,21.14053761,92.16103766,0,link,11057,N1,,435.91196,5820.0,24.0,0.01972062448644207,,
1058,3.3,A,21.14021046,92.1615531,,bridge,11058,N1,,435.91526,5820.0,24.0,0.01972062448644207,,
1059,271.0,,21.13954882,92.1625955,0,link,11059,N1,,436.18626,5820.0,24.0,0.01972062448644207,,
1060,3.3,A,21.13888718,92.16363791,,bridge,11060,N1,,436.18956,5820.0,24.0,0.01972062448644207,,
1061,196.0,,21.13847684,92.16441785,0,link,11061,N1,,436.38556,5820.0,24.0,0.01972062448644207,,
1062,1.2,A,21.1380665,92.1651978,,bridge,11062,N1,,436.38676,5820.0,24.0,0.01972062448644207,,
1063,124.0,,21.13799379,92.16577561,0,link,11063,N1,,436.51076,5820.0,24.0,0.01972062448644207,,
1064,32.0,C,21.13792108,92.16635342,,bridge,11064,N1,,436.54276,5820.0,24.0,0.01972062448644207,,
1065,182.0,,21.13776677,92.16720606,0,link,11065,N1,,436.72476,5820.0,24.0,0.01972062448644207,,
1066,12.3,D,21.13761246,92.16805871,,bridge,11066,N1,,436.73706,5820.0,24.0,0.01972062448644207,,
1067,206.0,,21.13747375,92.16903496,0,link,11067,N1,,436.94306,5820.0,24.0,0.01972062448644207,,
1068,1.2,C,21.13733505,92.17001121,,bridge,11068,N1,,436.94426,5820.0,24.0,0.01972062448644207,,
1069,484.0,,21.13697379,92.172257,0,link,11069,N1,,437.42826,5820.0,24.0,0.01972062448644207,,
1070,15.2,B,21.13661254,92.17450278,,bridge,11070,N1,,437.44346,5820.0,24.0,0.01972062448644207,,
1071,188.0,,21.13632692,92.17527989,0,link,11071,N1,,437.63146,5820.0,24.0,0.01972062448644207,,
1072,4.8,A,21.1360413,92.17605699,,bridge,11072,N1,,437.63626,5820.0,24.0,0.01972062448644207,,
1073,260.0,,21.13547811,92.17699748,0,link,11073,N1,,437.89626,5820.0,24.0,0.01972062448644207,,
